Wall time,Step,Value
1535677374.2009654,41821,4.946530818939209
1535677523.4552274,41931,4.568827152252197
1535677536.8092327,41941,4.77020788192749
1535677563.660367,41961,4.287883758544922
1535677590.4365222,41981,4.861361980438232
1535677630.4741707,42011,4.005789279937744
1535677644.197002,42021,4.815427780151367
1535677982.5079591,42271,3.911227226257324
1535678050.5378754,42321,3.700948715209961
1535678091.8748333,42351,4.253066062927246
1535678200.1083913,42431,4.337889671325684
1535678347.6051345,42541,3.206441640853882
1535678468.8124573,42631,3.9405910968780518
1535678509.1993494,42661,4.134476184844971
1535678522.9367797,42671,3.6922965049743652
1535678726.1231582,42821,3.7844603061676025
1535678942.4358842,42981,3.1751279830932617
1535679023.096975,43041,4.174080848693848
1535679077.297959,43081,4.872683525085449
1535679198.4522915,43171,3.5913186073303223
1535679225.406573,43191,4.52537727355957
1535679347.7833,43281,3.8494131565093994
1535679401.484819,43321,3.541576385498047
1535679483.0946004,43381,3.2054853439331055
1535679550.3896303,43431,4.737939357757568
1535679901.8711069,43691,5.045666694641113
1535680023.462669,43781,3.778920888900757
1535680226.4770482,43931,4.414205551147461
1535680320.7473137,44001,4.002099514007568
1535680401.4364936,44061,4.442071437835693
1535680455.1458297,44101,4.610063076019287
1535680469.4152513,44111,4.544924736022949
1535680726.001904,44301,4.670722961425781
1535680766.206426,44331,4.313178062438965
1535680847.443718,44391,4.967155456542969
1535681252.5895936,44691,3.621119499206543
1535681332.9177248,44751,5.393376350402832
1535681386.8580809,44791,3.817397356033325
1535681535.9782956,44901,3.6562886238098145
1535681562.9229817,44921,3.8787097930908203
1535681792.0541258,45091,4.381097793579102
1535681805.85116,45101,4.625028133392334
1535682061.69722,45291,4.381618976593018
1535682074.9305825,45301,3.8072447776794434
1535682115.4425502,45331,4.92685079574585
1535682237.1997612,45421,3.0912184715270996
1535682387.0615187,45531,3.3015499114990234
1535682724.2948244,45781,3.190250873565674
1535682764.8606465,45811,3.7436294555664062
1535682914.747398,45921,5.14251184463501
1535682955.359745,45951,5.616598606109619
1535682982.458289,45971,4.372690677642822
1535683009.6117117,45991,6.859640121459961
1535683171.1728194,46111,4.6232709884643555
1535683401.6805918,46281,4.014569282531738
1535683684.9344182,46491,4.2311320304870605
1535683779.437584,46561,3.7774438858032227
1535683887.679352,46641,4.2182488441467285
1535683941.5266087,46681,3.9140243530273438
1535684035.5705662,46751,3.8981857299804688
1535684048.942009,46761,5.569159984588623
1535684062.9647496,46771,3.4772934913635254
1535684198.470774,46871,4.350943565368652
1535684548.304001,47131,3.4826338291168213
1535684615.4633336,47181,4.518971920013428
1535684832.9681983,47341,4.490742206573486
1535684980.8071086,47451,4.1953911781311035
1535685035.151828,47491,3.434295415878296
1535685048.821562,47501,3.5059216022491455
1535685157.3315163,47581,3.8716373443603516
1535685197.7781978,47611,3.2927443981170654
1535685211.3532858,47621,4.15139627456665
1535685238.4470193,47641,3.5808753967285156
1535685279.0986857,47671,4.141047954559326
1535685400.8796523,47761,4.572248458862305
1535685455.1955862,47801,3.40751576423645
1535685549.5630066,47871,3.518925905227661
1535685562.9723911,47881,3.476698637008667
1535685643.4904811,47941,4.022237777709961
1535685724.5374157,48001,2.4862606525421143
1535685752.0738602,48021,3.055166244506836
1535685792.7497795,48051,4.823594093322754
1535686267.1980705,48401,3.702902317047119
1535686428.610083,48521,5.177348613739014
1535686686.184958,48711,3.6123697757720947
1535686712.920425,48731,4.1650614738464355
1535686970.6717088,48921,5.415710926055908
1535686997.8992746,48941,3.817427396774292
1535687011.364115,48951,4.251141548156738
1535687268.8662672,49141,3.714658260345459
1535687594.1134193,49381,3.180626153945923
1535687634.0665748,49411,4.472105979919434
1535687810.205874,49541,3.423161745071411
1535687918.0995986,49621,4.672518730163574
1535688039.8654692,49711,3.142380714416504
1535688080.8347244,49741,4.364553928375244
1535688107.626033,49761,3.4590213298797607
1535688121.365113,49771,5.815907955169678
1535688311.104674,49911,3.9651119709014893
1535688419.315827,49991,3.4096572399139404
1535688716.2395205,50211,3.9717373847961426
1535688797.6883755,50271,4.206779479980469
1535688838.179768,50301,4.161544322967529
1535688933.1066046,50371,2.866795778274536
1535689108.2637138,50501,4.006563186645508
1535689135.0778823,50521,3.056436777114868
1535689148.190113,50531,4.176052093505859
1535689242.3218088,50601,3.1739087104797363
1535689486.687045,50781,4.721173286437988
1535689798.8020554,51011,6.001931667327881
1535689865.9555185,51061,5.566987037658691
1535690136.947984,51261,3.930835723876953
1535690163.868953,51281,4.057498455047607
1535690245.2491632,51341,4.265420913696289
1535690596.8113585,51601,4.595465660095215
1535690664.5000045,51651,3.9884238243103027
1535690839.783301,51781,3.895977020263672
1535690893.67732,51821,3.466362476348877
1535691137.2928333,52001,4.85430383682251
1535691245.5523093,52081,3.318775177001953
1535691555.6114795,52311,4.196134090423584
1535691595.9036472,52341,3.859290361404419
1535691609.5471237,52351,3.9878480434417725
1535691663.2287457,52391,4.459810733795166
1535691677.0151038,52401,3.23340106010437
1535692028.4832141,52661,4.188321590423584
1535692340.527095,52891,3.883315324783325
1535692516.1162431,53021,4.679893493652344
1535692732.0363243,53181,4.249501705169678
1535692880.4474325,53291,4.189753532409668
1535693097.6413586,53451,3.0755348205566406
1535693287.5463004,53591,3.6768054962158203
1535693301.0624647,53601,4.018716335296631
1535693341.3868647,53631,3.8298258781433105
1535693571.3132112,53801,4.042454719543457
1535693896.6799586,54041,6.527767658233643
1535693923.4098296,54061,3.6817572116851807
1535694111.563585,54201,4.852103233337402
1535694368.650889,54391,4.180591106414795
1535694382.1841629,54401,3.522238254547119
1535694409.3736894,54421,3.642482042312622
1535694476.8858635,54471,3.3494582176208496
1535694856.8582234,54751,4.188602924346924
1535694979.1674485,54841,4.304002285003662
1535695073.224117,54911,3.3084237575531006
1535695126.774585,54951,4.181798458099365
1535695208.1979208,55011,2.826197624206543
1535695288.6887178,55071,4.4567718505859375
1535695356.2158427,55121,3.405005931854248
1535695396.0521505,55151,3.6332693099975586
1535695423.513252,55171,3.875556707382202
1535695625.8636272,55321,2.896960973739624
1535695746.9887552,55411,3.784210443496704
1535695854.5293236,55491,4.501948833465576
1535696085.0567043,55661,4.434883117675781
1535696152.8667648,55711,3.8662891387939453
1535696179.9060502,55731,4.117079257965088
1535696343.033598,55851,2.67045259475708
1535696370.2497556,55871,4.750123500823975
1535696450.7653577,55931,4.13016414642334
1535696613.3701046,56051,3.8124146461486816
1535696681.1188376,56101,3.2871603965759277
1535696816.4152834,56201,2.3382208347320557
1535696950.6349466,56301,3.868788719177246
1535697329.5997806,56581,3.9545562267303467
1535697356.3013124,56601,3.4724209308624268
1535697410.5676253,56641,4.917801856994629
1535697613.2853625,56791,3.58616304397583
1535698167.2914724,57201,3.364084005355835
1535698208.0463936,57231,4.446268558502197
1535698452.9650984,57411,4.781069278717041
1535698602.5300143,57521,5.307522773742676
1535698697.8892128,57591,3.7381434440612793
1535698927.3022282,57761,2.9377028942108154
1535698967.9536853,57791,4.760308265686035
1535699035.5468721,57841,4.313888072967529
1535699103.786098,57891,3.085319995880127
1535699185.4788935,57951,5.547186374664307
1535699347.945855,58071,3.601046085357666
1535699361.3697267,58081,4.151119709014893
1535699589.6128983,58251,5.4563889503479
1535699629.6376395,58281,4.702799320220947
1535699725.440585,58351,4.717982769012451
1535700090.787882,58621,3.8575735092163086
1535700118.150584,58641,4.665586948394775
1535700213.3711877,58711,3.293760299682617
1535700456.8464649,58891,3.500387668609619
1535700483.629019,58911,3.585764169692993
1535700578.176515,58981,3.2069005966186523
1535700699.8065083,59071,4.539738178253174
1535700835.2611427,59171,3.8320560455322266
1535700848.699215,59181,4.323543071746826
1535700984.6383944,59281,3.669200897216797
1535701039.031547,59321,3.317910671234131
1535701052.8105469,59331,5.439991474151611
1535701309.6475437,59521,3.947523355484009
1535701376.9392292,59571,3.488816499710083
1535701404.0747762,59591,3.4279510974884033
1535701458.3176966,59631,4.347244739532471
1535701580.6145136,59721,3.617591142654419
1535701824.298054,59901,4.761603832244873
1535702095.225868,60101,3.722282648086548
1535702162.8247137,60151,3.6863832473754883
1535702284.41624,60241,3.682180404663086
1535702365.2028842,60301,4.012938976287842
1535702378.6349988,60311,3.3993735313415527
1535702392.0945892,60321,3.7145164012908936
1535702432.501239,60351,5.440062999725342
1535702473.3140638,60381,3.302233934402466
1535702770.7993016,60601,3.8829712867736816
1535703014.252764,60781,3.678696870803833
1535703067.9218042,60821,3.6917738914489746
1535703135.0267732,60871,3.33772349357605
1535703230.0573368,60941,3.5665335655212402
1535703352.0758162,61031,4.489640712738037
1535703379.33384,61051,3.810469388961792
1535703514.455026,61151,4.951359748840332
1535703596.2515063,61211,3.830444574356079
1535703623.7524,61231,4.19014835357666
1535703705.5979803,61291,5.019008636474609
1535703732.6033242,61311,2.7363972663879395
1535703760.00887,61331,3.680138349533081
1535703923.385116,61451,3.6986758708953857
1535703950.7658384,61471,3.21895694732666
1535703977.7192307,61491,3.9956488609313965
1535704287.629648,61721,3.8745875358581543
1535704408.681805,61811,3.574110984802246
1535704449.0902836,61841,3.312476873397827
1535704667.201213,62001,3.356443405151367
1535704802.5960352,62101,3.185708999633789
1535704816.4072287,62111,5.511876106262207
1535704844.0511713,62131,5.13991641998291
1535704925.501554,62191,3.7574493885040283
1535705006.7383766,62251,4.039047718048096
1535705101.9625323,62321,5.819512367248535
1535705169.818597,62371,4.295716285705566
1535705264.4296913,62441,3.9894046783447266
1535705346.067953,62501,3.335829496383667
1535705522.0729353,62631,4.256734848022461
1535705873.162571,62891,4.232353687286377
1535706144.8148167,63091,3.4355146884918213
1535706185.158823,63121,4.064169883728027
1535706239.0435236,63161,3.7756943702697754
1535706252.592354,63171,3.739459991455078
1535706348.3468654,63241,3.4103081226348877
1535706578.7472892,63411,3.772037982940674
1535706728.5738263,63521,3.755733013153076
1535706878.4815388,63631,3.31424880027771
1535706973.1552436,63701,3.8172996044158936
1535707054.6804118,63761,5.050440788269043
1535707380.2545874,64001,4.374964714050293
1535708125.8078878,64551,4.596146106719971
1535708180.0323403,64591,4.421550750732422
1535708353.9735942,64721,3.599012613296509
1535708502.4792397,64831,4.360860824584961
1535708556.6262672,64871,3.9271414279937744
